,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__min_impurity_decrease,param_model__max_samples,param_model__max_features,param_model__max_depth,param_model__criterion,param_model__bootstrap,param_model,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
226,1,30000,1.2492786248524983,0.023792227717944762,0.2227338949839274,0.02003902013801922,300,32,17,0.0001,0.5,0.8,80,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 300, 'model__min_samples_split': 32, 'model__min_samples_leaf': 17, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': 0.5, 'model__max_features': 0.8, 'model__max_depth': 80, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1962.1239409723366,-1940.2081965504792,-2017.467873365573,-1973.2666702961296,32.51035453493419,47,-1910.387489428519,-1914.2060881114003,-1911.7032465002128,-1912.0989413467107,1.5838465379962943
227,1,30000,147.9846956729889,0.455062386072483,0.1541577180226644,0.0049006450566562556,200,62,1,0.01,0.9,log2,60,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 200, 'model__min_samples_split': 62, 'model__min_samples_leaf': 1, 'model__min_impurity_decrease': 0.01, 'model__max_samples': 0.9, 'model__max_features': 'log2', 'model__max_depth': 60, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1914.4488822499998,-1912.6481708170816,-1982.8113413841384,-1936.6361314837397,32.6590788543865,37,-1856.3033646682331,-1855.4951455000003,-1846.142912125,-1852.6471407644112,4.611004749601859
228,1,30000,2.003598610560099,0.010374725283173234,0.3634733359018962,0.000541444142967834,550,42,9,0.001,0.7,0.5,60,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 550, 'model__min_samples_split': 42, 'model__min_samples_leaf': 9, 'model__min_impurity_decrease': 0.001, 'model__max_samples': 0.7, 'model__max_features': 0.5, 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1955.7744320467136,-1936.0766134552691,-2004.7465081992127,-1965.5325179003985,28.87102111901582,44,-1897.3516124857847,-1897.1432854840707,-1891.3767585490878,-1895.290552172981,2.7687765568606486
229,1,30000,880.5360396703085,3.807682545055961,0.40944600105285645,0.00043860569430521207,650,32,25,0.01,0.9,1.0,20,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 650, 'model__min_samples_split': 32, 'model__min_samples_leaf': 25, 'model__min_impurity_decrease': 0.01, 'model__max_samples': 0.9, 'model__max_features': 1.0, 'model__max_depth': 20, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1935.5058820769232,-1918.4337442205758,-2003.198422534561,-1952.3793496106864,36.60417191503423,41,-1895.968799939997,-1888.1888901538462,-1884.3435518846154,-1889.5004139928196,4.835746696732269
230,1,30000,1364.0424822966258,6.05903725691205,0.23202029863993326,0.0003547148391530425,350,92,37,0.0001,,1.0,40,absolute_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 350, 'model__min_samples_split': 92, 'model__min_samples_leaf': 37, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': None, 'model__max_features': 1.0, 'model__max_depth': 40, 'model__criterion': 'absolute_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",-1923.3230105714288,-1908.3969721257838,-1993.3975636135042,-1941.705848770239,37.05600890092641,38,-1875.483118727365,-1872.176951857143,-1867.2632494285715,-1871.6411066710264,3.3770707592947526
231,1,30000,3.3504927158355713,0.00256613482714226,0.40216819445292157,0.0007221722593184561,600,62,17,0.0,,0.5,20,squared_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 600, 'model__min_samples_split': 62, 'model__min_samples_leaf': 17, 'model__min_impurity_decrease': 0.0, 'model__max_samples': None, 'model__max_features': 0.5, 'model__max_depth': 20, 'model__criterion': 'squared_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",-1941.305367367091,-1927.1454585587735,-1999.080610118808,-1955.843812014891,31.114747704522525,42,-1874.6956850969837,-1880.6686589136914,-1879.4888025630862,-1878.2843821912538,2.582902163308143
232,1,30000,380.6890796820323,2.55541996924707,0.3269813060760498,0.0004935686504984843,450,62,1,0.001,,sqrt,40,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 450, 'model__min_samples_split': 62, 'model__min_samples_leaf': 1, 'model__min_impurity_decrease': 0.001, 'model__max_samples': None, 'model__max_features': 'sqrt', 'model__max_depth': 40, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1893.2842714444444,-1885.9914545899032,-1959.0154629907433,-1912.7637296750302,32.84015246056113,30,-1828.3191300120563,-1825.0663184999999,-1819.880890111111,-1824.422112874389,3.4748835781483596
233,1,30000,0.9944559733072916,0.019209492114376392,0.14511672655741373,0.00019297695950408182,200,62,5,0.0001,,0.5,60,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 200, 'model__min_samples_split': 62, 'model__min_samples_leaf': 5, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': None, 'model__max_features': 0.5, 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1916.236685855259,-1906.5438966021968,-1971.3914881722137,-1931.39069020989,28.560292004728733,36,-1851.0136305420863,-1859.7094609557894,-1851.1195620290082,-1853.947551175628,4.07451499003422
234,1,30000,4.431564251581828,0.012933198368404678,0.4350893497467041,0.0040903871374579626,700,92,9,0.0,,1.0,80,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 700, 'model__min_samples_split': 92, 'model__min_samples_leaf': 9, 'model__min_impurity_decrease': 0.0, 'model__max_samples': None, 'model__max_features': 1.0, 'model__max_depth': 80, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1919.2547901628216,-1898.0069245044092,-1967.049396000348,-1928.1037035558595,28.87263027788308,35,-1853.6782848533842,-1859.782578350574,-1853.0091592340852,-1855.4900074793477,3.0475734376686985
235,1,30000,0.627753496170044,0.007063794729028492,0.07773963610331218,0.0003750949083942125,100,42,17,0.0,0.7,0.8,40,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 100, 'model__min_samples_split': 42, 'model__min_samples_leaf': 17, 'model__min_impurity_decrease': 0.0, 'model__max_samples': 0.7, 'model__max_features': 0.8, 'model__max_depth': 40, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1932.7654989562798,-1908.6807145886596,-1985.9985455883143,-1942.4815863777512,32.30390599405432,39,-1870.9416435538149,-1874.2865172378658,-1876.6963088406837,-1873.974823210788,2.359647998587977
