,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__loss,param_model__quantile,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34,22.46186766624451,2.560517514665192,0.495959997177124,0.046876713599305064,quantile,0.7380694475468471,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7380694475468471})",-1595.5719749292255,-1631.3614203554857,-1635.5296520348477,-1607.6432053876001,-1599.9010826051099,-1614.0014670624537,16.393445276703737,13
35,21.690239715576173,2.9163814379416,0.4756197452545166,0.08334935510131647,quantile,0.8637668835643402,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8637668835643402})",-2105.4793431862845,-2153.850983656197,-2122.2661692136594,-2106.296046682183,-2097.6045622315355,-2117.0994209939718,20.04575400540365,38
36,21.9220618724823,3.4703680193755617,0.4860715389251709,0.06522115886901224,quantile,0.8689219067254204,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8689219067254204})",-2131.4060164514285,-2171.71088141901,-2149.6066550968894,-2146.560466773621,-2121.459365588343,-2144.1486770658585,17.160778638772936,42
37,21.901907920837402,2.464161269999637,0.5063149452209472,0.09286912148433057,quantile,0.9033244821711237,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9033244821711237})",-2384.0267254389255,-2432.5478236347103,-2431.821775485099,-2401.752224333193,-2379.6989506273967,-2405.9694999038647,22.6457941738205,54
38,22.17591800689697,2.5283953733359583,0.4901474952697754,0.08109200447816031,quantile,0.7375211807564214,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7375211807564214})",-1593.4904090276568,-1635.905897125971,-1645.4998548747055,-1615.713314654906,-1607.2668158746,-1619.5752583115677,18.897651691380464,14
39,21.697667789459228,2.8028704783073333,0.47765603065490725,0.04852320192693149,quantile,0.8227059645813337,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8227059645813337})",-1892.7100276608267,-1902.4437861009326,-1914.117830652541,-1881.943999545534,-1879.6756231864426,-1894.1782534292554,12.869069190490102,32
40,21.599524307250977,3.3381433546439623,0.47306194305419924,0.09245212543952339,quantile,0.8941153324223139,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8941153324223139})",-2301.0059647582766,-2322.8688855339283,-2316.580806720193,-2289.5421257206362,-2320.3953811098513,-2310.078632768577,12.777836708857118,50
41,17.23290810585022,1.8660437845557223,0.4188379287719727,0.06093424130476795,quantile,0.9657774780939037,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9657774780939037})",-3469.3542208876706,-3603.8753341855863,-3507.65993033267,-3439.2500268395747,-3462.5239734514375,-3496.532697139388,58.004869143021395,78
42,21.245994424819948,4.183981928034469,0.4910877227783203,0.11045795907640972,quantile,0.8879884791268688,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8879884791268688})",-2247.2908423858235,-2287.1800544123485,-2295.0718319810835,-2260.6756947929257,-2310.3785455317447,-2280.1193938207853,22.99919919648325,48
43,21.900120162963866,2.9054918468631525,0.4725779056549072,0.06685968354370991,quantile,0.7017543527412509,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7017543527412509})",-1521.378093376739,-1568.016935611184,-1563.0548365318577,-1539.1368175282353,-1524.7563017795749,-1543.268596965518,19.198678931829388,2
44,21.6468327999115,3.1316041766112113,0.49797797203063965,0.061810443415957074,quantile,0.9311130211448848,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9311130211448848})",-2706.869509948825,-2732.826614953923,-2704.6206841656863,-2690.572197648381,-2687.796280203173,-2704.5370573839973,16.00635701189612,63
45,21.89397773742676,2.850807672301009,0.4778897762298584,0.0522727030878473,quantile,0.8435907868615369,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8435907868615369})",-1997.7296864585164,-2005.8320082726088,-1995.5836498065867,-1987.3369900673763,-1979.8456306804603,-1993.2655930571098,8.927037940539606,35
46,21.784627151489257,2.800107369349979,0.4757058620452881,0.06477867692064332,quantile,0.7971788997446438,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7971788997446438})",-1781.9580419570789,-1826.1705797692969,-1822.1192708001952,-1763.6090413709198,-1780.2727303442246,-1794.8259328483432,24.816469611054067,27
47,21.83710026741028,2.8355387302383352,0.4822076320648193,0.05200661163421828,quantile,0.8661462914371819,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8661462914371819})",-2103.2966011733383,-2143.5740260293505,-2125.894825986347,-2100.4469596543527,-2101.086794001478,-2114.8598413689733,17.1896003626889,37
48,21.40977511405945,2.5766266581526818,0.4725325107574463,0.08361590418562047,quantile,0.8757683602724183,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8757683602724183})",-2170.327382620544,-2209.4750242182554,-2204.314099768838,-2190.271791879227,-2166.0274536192937,-2188.083150421232,17.478942670052742,45
49,21.37160167694092,2.2327535785171326,0.5068167686462403,0.09714579111696645,quantile,0.8930956695861137,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8930956695861137})",-2299.1165393365177,-2341.379588162278,-2336.796637501867,-2301.658304782942,-2286.658283218978,-2313.1218706005166,21.848923505756975,51
50,21.875520181655883,2.7818847789882355,0.4834140300750732,0.06818603142560689,quantile,0.733273656309898,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.733273656309898})",-1588.5821095832641,-1621.1856816145773,-1625.095480383811,-1595.537783547834,-1597.9782056593344,-1605.6758521577642,14.641769033658617,12
