,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_samples,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
40,51.32298908233643,0.2138283654750509,1.506441593170166,0.039093745940622364,RandomForestRegressor(),squared_error,30,0.5,0.8,0.1,20,20,650,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.5), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 20), ('model__n_estimators', 650)])",-1584.223744139494,-1568.1833469286923,-1602.3457692972413,-1582.3803306848524,-1582.2876643752418,-1583.8841710851043,10.883677386070232,23
41,54.96950764656067,0.03317454209151388,1.449392604827881,0.020087645872719623,RandomForestRegressor(),squared_error,30,0.7,0.8,0.05,20,25,550,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 20), ('model__min_samples_split', 25), ('model__n_estimators', 550)])",-1575.7306409438934,-1556.2552504841597,-1590.5947345128677,-1574.4486503034261,-1573.8329218875592,-1574.1724396263812,10.893456678904522,17
42,58.1195942401886,0.18877285336149405,1.4776890277862549,0.05097042099286809,RandomForestRegressor(),squared_error,45,0.7,0.8,0.1,20,20,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 45), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 20), ('model__n_estimators', 600)])",-1575.1896074326396,-1556.1046358523638,-1588.3052354555891,-1574.1750341916265,-1573.7043083153246,-1573.4957642495087,10.24837340596444,9
43,59.01114645004272,0.1423828504572186,1.4825704097747803,0.03372082842159162,RandomForestRegressor(),squared_error,30,0.7,0.8,0.05,20,80,650,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 20), ('model__min_samples_split', 80), ('model__n_estimators', 650)])",-1628.6698822745836,-1609.189682938793,-1645.8835564858382,-1627.3246705412778,-1626.3300033868484,-1627.4795591254683,11.627459119114862,36
44,45.0066650390625,0.12300193948793495,1.281119966506958,0.043739058845559196,RandomForestRegressor(),squared_error,30,0.7,0.8,0.1,20,25,400,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 25), ('model__n_estimators', 400)])",-1575.4616925587245,-1555.6048806684119,-1590.4313138411146,-1572.7707244180608,-1574.2476559048848,-1573.7032534782393,11.060173545812871,12
45,43.990051412582396,0.18106634852306883,1.2291390419006347,0.03929195019434752,RandomForestRegressor(),squared_error,35,0.7,0.8,0.1,20,70,400,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 35), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 70), ('model__n_estimators', 400)])",-1612.6740548696298,-1594.6448162194645,-1630.8739960613773,-1615.3266668657038,-1609.6210902101657,-1612.6281248452683,11.598600790316437,29
46,47.52493276596069,0.3226783944017088,1.3200132369995117,0.05339448694556543,RandomForestRegressor(),squared_error,45,0.6,0.8,0.1,20,25,500,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 45), ('model__max_features', 0.6), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 25), ('model__n_estimators', 500)])",-1580.2909953467604,-1559.109546546054,-1594.7262265814427,-1575.8405323991183,-1577.9510737526218,-1577.5836749251994,11.36365793471224,20
47,45.185145664215085,0.1693848534133922,1.2276854991912842,0.05442891938906145,RandomForestRegressor(),squared_error,25,0.7,0.8,0.1,20,25,400,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 25), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 25), ('model__n_estimators', 400)])",-1574.090076452313,-1557.3690075156537,-1588.2761859042444,-1573.1071556011862,-1575.8505793896043,-1573.7386009726004,9.841622596851426,13
48,51.69236741065979,0.1871297511432825,1.331061601638794,0.052337537798971996,RandomForestRegressor(),squared_error,25,0.7,0.8,0.1,20,40,500,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 25), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 40), ('model__n_estimators', 500)])",-1577.0147820207412,-1556.0840771314815,-1588.8226120070406,-1573.7645622496002,-1574.276136322379,-1573.9924339462484,10.487234388069657,15
49,55.231379985809326,0.10113781895338231,1.3737840175628662,0.015724555656598554,RandomForestRegressor(),squared_error,30,0.7,0.8,0.1,20,95,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 20), ('model__min_samples_split', 95), ('model__n_estimators', 600)])",-1650.3841162570961,-1632.8379505378552,-1670.7998523523759,-1651.0296462046567,-1648.315701426354,-1650.6734533556676,12.074325495044056,42
