,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__bootstrap,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_samples,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,30.385987710952758,0.12602957849687582,0.7085677146911621,0.014170419091838039,ExtraTreesRegressor(),True,squared_error,30,1.0,0.9,0.001,1,92,540,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 1.0), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.001), ('model__min_samples_leaf', 1), ('model__min_samples_split', 92), ('model__n_estimators', 540)])",-1677.5447827408614,-1662.1043563911812,-1686.7125176424913,-1678.2225054854325,-1680.1750150766986,-1676.9518354673332,8.100291686100324,92
22,27.91183304786682,0.1768804871365311,0.5789927959442138,0.021394429347256598,ExtraTreesRegressor(),True,squared_error,20,1.0,0.9,0.01,1,62,400,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 20), ('model__max_features', 1.0), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.01), ('model__min_samples_leaf', 1), ('model__min_samples_split', 62), ('model__n_estimators', 400)])",-1603.5058137736314,-1588.7786088215466,-1613.839516796288,-1605.6731853211882,-1609.4602748089173,-1604.2514799043142,8.497634960562058,67
23,23.61683554649353,0.16092198954101908,0.5018853664398193,0.006151284696666908,ExtraTreesRegressor(),True,squared_error,20,0.8,0.5,0.0001,29,12,450,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 20), ('model__max_features', 0.8), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.0001), ('model__min_samples_leaf', 29), ('model__min_samples_split', 12), ('model__n_estimators', 450)])",-1869.4500714052726,-1850.2400589108895,-1880.8889198563202,-1864.5918255473784,-1859.8600982460573,-1865.0061947931838,10.16564582516277,121
24,27.511719131469725,0.21601321622177835,0.5622472286224365,0.03412178180174725,ExtraTreesRegressor(),True,squared_error,20,1.0,0.9,0.0,1,62,390,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 20), ('model__max_features', 1.0), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.0), ('model__min_samples_leaf', 1), ('model__min_samples_split', 62), ('model__n_estimators', 390)])",-1605.413678954479,-1588.4165558283207,-1615.83078360892,-1606.0334931919783,-1609.2816813116588,-1604.9952385790716,9.076215225881981,68
25,25.024379205703735,0.12640952324744917,0.4489305019378662,0.011077016235014964,ExtraTreesRegressor(),True,squared_error,70,0.8,0.9,0.0,29,62,370,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 70), ('model__max_features', 0.8), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.0), ('model__min_samples_leaf', 29), ('model__min_samples_split', 62), ('model__n_estimators', 370)])",-1798.6851728905508,-1777.9026795828631,-1807.9320505911685,-1791.3791692608488,-1788.7305913492053,-1792.9259327349275,10.0403577839044,112
26,25.041461944580078,0.14334507072541544,1.0452560424804687,0.06241326919176385,ExtraTreesRegressor(),True,squared_error,30,sqrt,0.7,0.0001,1,12,450,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 'sqrt'), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.0001), ('model__min_samples_leaf', 1), ('model__min_samples_split', 12), ('model__n_estimators', 450)])",-1457.6343438929018,-1450.9063905645169,-1478.3162867447058,-1470.6703006705345,-1482.2542638041245,-1467.9563171353566,11.969704119716312,54
27,23.21877555847168,0.12320867426799383,0.8965496063232422,0.009350707435400212,ExtraTreesRegressor(),True,squared_error,30,log2,0.7,0.01,1,12,380,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 'log2'), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.01), ('model__min_samples_leaf', 1), ('model__min_samples_split', 12), ('model__n_estimators', 380)])",-1458.9690277409975,-1452.2083388551775,-1478.4348991338306,-1474.7808487936206,-1479.6933375401754,-1468.8172904127605,11.128309635209297,55
28,21.53752546310425,0.11508556379505586,0.5324008941650391,0.009992252625712525,ExtraTreesRegressor(),True,squared_error,30,sqrt,0.7,0.001,1,62,370,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 'sqrt'), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.001), ('model__min_samples_leaf', 1), ('model__min_samples_split', 62), ('model__n_estimators', 370)])",-1729.8042357276845,-1714.9729651719445,-1746.8742609739518,-1732.2813950600312,-1731.3915340210829,-1731.064878190939,10.119902028527946,106
29,26.05821099281311,0.17847197534124032,0.9207135677337647,0.019996430293975707,ExtraTreesRegressor(),True,squared_error,30,0.7,0.7,0.01,1,12,400,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.01), ('model__min_samples_leaf', 1), ('model__min_samples_split', 12), ('model__n_estimators', 400)])",-1408.0956150666104,-1404.0728522448894,-1423.3109514932135,-1423.1919662498422,-1432.0598730644676,-1418.1462516238046,10.43837236072576,50
30,25.051891040802,0.08072337744062325,0.5245225906372071,0.006709137534509026,ExtraTreesRegressor(),True,squared_error,30,0.7,0.9,0.0001,1,172,470,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.0001), ('model__min_samples_leaf', 1), ('model__min_samples_split', 172), ('model__n_estimators', 470)])",-1830.0260331584082,-1814.2490532950687,-1851.7056355211091,-1828.5486915183008,-1827.2933281878368,-1830.3645483361447,12.066445245912629,115
31,25.556117010116576,0.09631238916411909,0.6458313941955567,0.005700948456136121,ExtraTreesRegressor(),True,squared_error,30,0.7,0.9,0.0001,1,62,440,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.0001), ('model__min_samples_leaf', 1), ('model__min_samples_split', 62), ('model__n_estimators', 440)])",-1624.5440357982297,-1609.6625258827003,-1638.2434324687097,-1624.1186820785535,-1632.7879616149114,-1625.871327568621,9.679540566991914,78
32,25.979704332351684,0.08594873076655876,1.0455430507659913,0.002668599874859125,ExtraTreesRegressor(),True,squared_error,20,0.7,0.5,0.001,1,12,530,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 20), ('model__max_features', 0.7), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.001), ('model__min_samples_leaf', 1), ('model__min_samples_split', 12), ('model__n_estimators', 530)])",-1450.358969865324,-1446.9965193967603,-1466.2239869044456,-1463.1995486260491,-1469.915624518656,-1459.338929862247,9.023853225906894,53
