,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__l2_regularization,param_model__learning_rate,param_model__max_bins,param_model__max_depth,param_model__max_features,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_q,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
111,3.801547384262085,0.18636689828002279,0.7812394618988037,0.034920861227411726,HistGradientBoostingRegressor(),7,0.2,250,21,1.0,270,64,36,5,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 21), ('model__max_features', 1.0), ('model__max_iter', 270), ('model__max_leaf_nodes', 64), ('model__min_samples_leaf', 36), ('q', 5)])",-1408.1568015917169,-1401.6812520818733,-1379.8263870914316,-1413.5329256848595,-1394.9126615632354,-1399.6220056026236,11.70163552409721,54
112,3.6260618686676027,0.24381664958007557,0.8504301548004151,0.10861249931019862,HistGradientBoostingRegressor(),11,0.2,250,49,1.0,130,72,54,8,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 11), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 49), ('model__max_features', 1.0), ('model__max_iter', 130), ('model__max_leaf_nodes', 72), ('model__min_samples_leaf', 54), ('q', 8)])",-1428.4061984531177,-1417.7618799762804,-1392.058476397718,-1403.7352832079719,-1428.415993644531,-1414.0755663359237,14.256770216568134,73
113,3.274174451828003,0.06731273966058482,0.7472113609313965,0.014433121050734464,HistGradientBoostingRegressor(),9,0.2,250,45,1.0,50,60,15,4,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 45), ('model__max_features', 1.0), ('model__max_iter', 50), ('model__max_leaf_nodes', 60), ('model__min_samples_leaf', 15), ('q', 4)])",-1529.931493401736,-1527.986033504589,-1484.3285427594149,-1492.7979765021241,-1538.2762459292169,-1514.6640584194163,21.755339753169675,134
114,4.4814777851104735,0.22297239730142684,0.8700179576873779,0.027075890302841542,HistGradientBoostingRegressor(),5,0.2,250,17,0.6,310,76,39,11,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 17), ('model__max_features', 0.6), ('model__max_iter', 310), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 39), ('q', 11)])",-1384.7385463998373,-1385.4724213487932,-1346.8211017606677,-1370.9067900298112,-1382.386579501281,-1374.065087808078,14.59799178946792,8
115,4.218440246582031,0.2537768646042578,0.825105619430542,0.044381584736495866,HistGradientBoostingRegressor(),5,0.2,250,23,0.6,270,76,48,12,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 23), ('model__max_features', 0.6), ('model__max_iter', 270), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 48), ('q', 12)])",-1393.880802432079,-1398.8203991491516,-1364.096286624009,-1350.614893282655,-1442.1354515162648,-1389.909566600832,31.727317820060687,38
116,3.6346731662750242,0.0779401055369629,0.8045666694641114,0.039600515733786125,HistGradientBoostingRegressor(),1,0.2,250,47,0.6,150,48,45,4,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 1), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 47), ('model__max_features', 0.6), ('model__max_iter', 150), ('model__max_leaf_nodes', 48), ('model__min_samples_leaf', 45), ('q', 4)])",-1454.562563232436,-1431.3456662608066,-1417.1576999944589,-1462.6938492625657,-1457.766676394915,-1444.7052910290363,17.48544066385067,112
117,4.001773166656494,0.22254641038365996,0.8001205921173096,0.046776956576945174,HistGradientBoostingRegressor(),3,0.2,180,21,0.6,270,76,36,11,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.2), ('model__max_bins', 180), ('model__max_depth', 21), ('model__max_features', 0.6), ('model__max_iter', 270), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 36), ('q', 11)])",-1409.378655307558,-1401.6210381223466,-1409.4276826824623,-1412.4354322287547,-1461.1271001480768,-1418.7979816978398,21.465367028777646,82
118,4.126182985305786,0.16545289734908245,0.7860555648803711,0.022968093352358776,HistGradientBoostingRegressor(),5,0.2,250,15,1.0,290,76,18,10,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 15), ('model__max_features', 1.0), ('model__max_iter', 290), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 18), ('q', 10)])",-1361.57268472068,-1371.5423448692206,-1339.0114711887995,-1367.8369879447223,-1398.4677969809914,-1367.6862571408826,19.0893396659335,1
119,4.1459191799163815,0.3850719957720894,0.78371262550354,0.027260058057567215,HistGradientBoostingRegressor(),9,0.2,250,33,0.9,310,72,39,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 33), ('model__max_features', 0.9), ('model__max_iter', 310), ('model__max_leaf_nodes', 72), ('model__min_samples_leaf', 39), ('q', 7)])",-1421.8875570069665,-1376.2781035426287,-1341.2672660217922,-1406.379678137104,-1386.6098031622405,-1386.4844815741465,27.560765724890235,29
120,4.28461217880249,0.3145776339378523,0.8390225887298584,0.040783558049559465,HistGradientBoostingRegressor(),11,0.2,250,37,0.6,270,80,30,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 11), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 37), ('model__max_features', 0.6), ('model__max_iter', 270), ('model__max_leaf_nodes', 80), ('model__min_samples_leaf', 30), ('q', 7)])",-1414.73465659905,-1395.090354709968,-1333.2503192068089,-1348.9635122100735,-1382.282433985009,-1374.8642553421819,29.854117109271495,9
121,3.804629373550415,0.409850368746893,0.775719404220581,0.07964297077429783,HistGradientBoostingRegressor(),5,0.2,190,45,1.0,250,76,39,12,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.2), ('model__max_bins', 190), ('model__max_depth', 45), ('model__max_features', 1.0), ('model__max_iter', 250), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 39), ('q', 12)])",-1430.9300826616056,-1390.0258467917026,-1361.8290260152244,-1386.6508879570451,-1444.5981634876223,-1402.80680138264,30.466313559138932,60
122,4.089208602905273,0.3389837346749481,0.8302701950073242,0.01365890445099564,HistGradientBoostingRegressor(),7,0.2,240,25,0.8,250,76,51,6,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 240), ('model__max_depth', 25), ('model__max_features', 0.8), ('model__max_iter', 250), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 51), ('q', 6)])",-1433.8921863450962,-1381.5607349634233,-1369.5623139545492,-1423.5199533046539,-1393.532699923558,-1400.4135776982562,24.532828876061757,56
123,3.930852699279785,0.38827249258749724,0.7480325698852539,0.08220416228095158,HistGradientBoostingRegressor(),5,0.2,250,45,0.7,310,80,21,8,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 45), ('model__max_features', 0.7), ('model__max_iter', 310), ('model__max_leaf_nodes', 80), ('model__min_samples_leaf', 21), ('q', 8)])",-1374.294982754254,-1385.37969651217,-1337.0746803986979,-1381.4809430239256,-1400.2306151337552,-1375.6921835645605,21.084382788852405,10
124,4.121495389938355,0.03925368498397209,0.8912437915802002,0.01113094970329362,HistGradientBoostingRegressor(),11,0.2,250,29,0.9,190,84,30,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 11), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 29), ('model__max_features', 0.9), ('model__max_iter', 190), ('model__max_leaf_nodes', 84), ('model__min_samples_leaf', 30), ('q', 7)])",-1380.767175714861,-1380.475321103937,-1343.5796913215231,-1364.407497275956,-1392.4458598420592,-1372.3351090516674,16.92055658140827,5
125,3.244918203353882,0.23497119790887352,0.7729238033294678,0.10766379125986407,HistGradientBoostingRegressor(),1,0.1,180,17,0.9,50,72,48,14,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 1), ('model__learning_rate', 0.1), ('model__max_bins', 180), ('model__max_depth', 17), ('model__max_features', 0.9), ('model__max_iter', 50), ('model__max_leaf_nodes', 72), ('model__min_samples_leaf', 48), ('q', 14)])",-1592.9977075697418,-1610.593023989065,-1580.8224283027532,-1581.62529706381,-1613.6828078622275,-1595.9442529575194,13.940064787078393,140
126,3.3364704132080076,0.056010062542585226,0.7602306365966797,0.024461975650845378,HistGradientBoostingRegressor(),9,0.2,240,37,0.7,50,64,30,14,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.2), ('model__max_bins', 240), ('model__max_depth', 37), ('model__max_features', 0.7), ('model__max_iter', 50), ('model__max_leaf_nodes', 64), ('model__min_samples_leaf', 30), ('q', 14)])",-1523.5514892527092,-1529.006111951992,-1504.526399254247,-1521.4453097546532,-1535.0888299492206,-1522.7236280325644,10.255012527222235,136
